id,year,quantity
1598,2003,50
1599,2009,262
1600,2009,157
1602,2012,28
1603,2002,1080
1604,2014,54
1606,2016,27
1607,2016,240
1608,2007,24
1610,2008,10
1611,1993,16
1616,2012,193
1618,2016,85
1619,1989,416
1620,2014,178
1623,2013,25
1624,2010,861
1625,2005,946
1627,2011,62
1628,2011,86
1630,2017,313
1631,1994,4
1632,2003,25
1633,2005,50
1636,2005,72
1637,1983,258
1638,1985,103
1639,2000,19
1640,2004,75
1641,1966,22
1642,2013,60
1644,1997,588
1646,2013,2
1647,1973,32
1648,2011,90
1651,2012,43
1654,2012,3
1656,1991,31
1657,1968,117
1658,1981,4
1660,2012,390
1662,2007,18
1664,2004,33
1666,2007,1033
1668,2002,75
1669,1987,54
1670,2002,600
1671,1985,12
1672,2013,94
1673,1985,34
1675,2005,745
1677,2017,48
1678,2013,194
1681,1978,2
1682,2000,50
1685,1989,17
1686,2010,106
1688,2013,3
1690,1966,8
1691,1993,763
1692,1976,278
1696,1985,202
1700,2010,388
1701,1967,56
1702,1994,20
1705,2011,3
1706,2015,35
1707,2000,89
1708,2008,110
1709,1998,72
1710,1992,36
1711,1979,30
1713,1999,23
1714,2011,30
1719,1976,36
1720,1987,350
1721,1954,54
1722,1998,30
1723,2012,55
1727,1966,6
1728,1995,137
1731,1998,519
1733,2004,5
1734,2004,15
1736,1999,17
1737,2000,50
1743,1994,12
1744,1982,28
1747,1974,211
1748,2012,39
1749,2016,23
1750,1969,23
1751,1992,169
1754,2003,22
1756,1985,210
1757,1966,15
1758,1987,2
1759,2011,52
1760,1990,339
1762,2003,56
1764,2016,44
1766,2016,44
1768,2015,3
1770,2013,1355
1771,2007,40
1772,2016,46
1775,2006,184
1776,2017,258
1781,2001,1
1782,1987,3
1785,1999,157
1787,2007,913
1788,2012,28
1789,2009,200
1790,2017,3
1791,2003,1
1792,2012,62
1794,2001,173
1796,1979,16
1797,2002,10
1799,2015,16
1800,2010,77
1801,1993,14
1805,2016,159
1807,2004,216
1808,1998,91
1809,2016,98
1810,1979,38
1812,1957,20
1814,2007,29
1818,2001,26
1819,2013,715
1820,1997,158
1821,1981,145
1822,1972,36
1825,1993,801
1826,1998,26
1828,2000,79
1830,2002,237
1831,1962,42
1832,2000,109
1833,2008,581
1835,2002,184
1838,1987,8
1840,2009,633
