year,set_num,id,version
2015,10603-1,16156,1
2015,10604-1,14168,1
2015,10605-1,4019,1
2015,10606-1,11230,1
2015,10607-1,8358,1
2015,10608-1,13369,1
1985,106-1,6550,1
2000,1061-1,1908,1
2015,10615-1,9967,1
2015,10616-1,5989,1
2015,10617-1,8238,1
2015,10618-1,8325,1
1980,1062-1,13301,1
2015,10622-1,5385,1
2015,10623-1,10962,1
1985,1063-1,5411,1
1981,1064-1,8812,1
1985,1065-1,1696,1
2016,10654-1,2884,1
2013,10655-1,1678,1
2013,10656-1,4276,1
2013,10657-1,8966,1
2013,10659-1,4764,1
2014,10659-2,116484,1
2013,10660-1,14917,1
1982,1066-1,4269,1
2013,10661-1,4060,1
2013,10662-1,14263,1
2013,10663-1,3057,1
2013,10664-1,12223,1
2014,10665-1,8559,1
2014,10666-1,15909,1
2014,10667-1,15144,1
2014,10668-1,3043,1
2014,10669-1,8156,1
1985,1067-1,859,1
2014,10671-1,8669,1
2014,10672-1,15856,1
2014,10672-1,41555,2
2014,10673-1,7063,1
2014,10674-1,13000,1
2014,10675-1,3590,1
2014,10676-1,4606,1
2015,10677-1,5208,1
2015,10679-1,620,1
2015,10680-1,336,1
1999,1068-1,7983,1
2014,10681-1,3462,1
2014,10682-1,5509,1
2015,10683-1,3673,1
2015,10684-1,16124,1
2015,10685-1,9821,1
2015,10686-1,3485,1
2015,10687-1,10890,1
1999,1069-1,4592,1
2015,10692-1,4568,1
2015,10693-1,7290,1
2015,10694-1,11733,1
2015,10695-1,9940,1
2015,10696-1,8080,1
2015,10697-1,6333,1
2015,10698-1,14220,1
2015,10698-1,102864,2
2015,10699-1,1596,1
2015,10700-1,297,1
1999,1070-1,9870,1
2015,10701-1,3060,1
2016,10702-1,13764,1
2017,10703-1,15689,1
2017,10704-1,11342,1
2016,10705-1,955,1
2017,10706-1,2575,1
2017,10707-1,15813,1
2017,10708-1,5347,1
2017,10709-1,12882,1
1976,107-1,1093,1
1986,1071-1,26676,1
2018,10712-1,21567,1
2018,10713-1,21568,1
2018,10714-1,21869,1
2018,10715-1,21870,1
2018,10717-1,25438,1
1985,107-2,7958,1
2016,10720-1,13797,1
2016,10721-1,5275,1
2016,10722-1,4327,1
2016,10723-1,6676,1
2016,10724-1,16125,1
2016,10725-1,544,1
2016,10726-1,11035,1
2016,10727-1,12463,1
2016,10728-1,6573,1
2016,10729-1,7752,1
1971,107-3,25450,1
2017,10730-1,18886,1
2017,10731-1,18887,1
2017,10732-1,18888,1
2017,10733-1,18889,1
2017,10734-1,9341,1
2017,10735-1,15542,1
2017,10736-1,3818,1
2017,10737-1,541,1
2017,10738-1,19192,1
2017,10739-1,19195,1
2017,10740-1,1266,1
2017,10742-1,18893,1
2017,10743-1,18894,1
2017,10744-1,18895,1
2017,10745-1,22401,1
2017,10746-1,12887,1
2017,10747-1,850,1
2018,10748-1,21095,1
2018,10749-1,21096,1
2018,10750-1,21097,1
1980,1075-1,14282,1
2018,10751-1,21098,1
2018,10753-1,21234,1
2018,10754-1,21235,1
2018,10755-1,21236,1
2018,10756-1,23353,1
